name,rating,price,capacity,price/gb,type,cache,form factor,interface,link
Crucial P3 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$54.99,500 GB,$0.110,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0B25NTRGD?tag=bgfg-pc-builder-us-20
TEAMGROUP MP33 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.7,$64.98,1 TB,$0.062,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07XHMBQK3?tag=bgfg-pc-builder-us-20
Samsung 990 EVO Plus 2 TB M.2-2280 PCIe 5.0 X2 NVME Solid State Drive,,$139.99,2 TB,$0.070,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X2,https://www.amazon.com/dp/B0DHLCRF91?tag=bgfg-pc-builder-us-20
"Samsung 870 Evo 2 TB 2.5"" Solid State Drive",4.8,$179.99,2 TB,$0.090,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B08QB93S6R?tag=bgfg-pc-builder-us-20
"Mushkin Source HC 16 TB 2.5"" Solid State Drive",,,16 TB,N/A,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/s?k=Mushkin+Source+HC+16+TB+2.5%22+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Western Digital Blue SN580 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$109.99,2 TB,$0.055,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0C8WPRM9T?tag=bgfg-pc-builder-us-20
Samsung 970 Evo Plus 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,$59.99,500 GB,$0.120,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07M7Q21N7?tag=bgfg-pc-builder-us-20
Crucial P3 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,$83.99,1 TB,$0.084,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B0B25LZGGW?tag=bgfg-pc-builder-us-20
Kingston KC3000 2.048 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$206.85,2.048 TB,$0.101,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09K7DRMSC?tag=bgfg-pc-builder-us-20
Klevv CRAS C910 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$56.99,1 TB,$0.057,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0CBSSC21F?tag=bgfg-pc-builder-us-20
Crucial T705 4 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$713.99,4 TB,$0.178,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=Crucial+T705+4+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Silicon Power UD90 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$90.99,1 TB,$0.091,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Silicon+Power+UD90+1+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Kingston Fury Renegade 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$222.40,2 TB,$0.111,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09K36S11S?tag=bgfg-pc-builder-us-20
Samsung 970 Evo Plus 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,$179.99,2 TB,$0.090,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07MFZXR1B?tag=bgfg-pc-builder-us-20
Crucial T700 2 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$269.99,2 TB,$0.135,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/dp/B0C3K7MTSY?tag=bgfg-pc-builder-us-20
"Samsung 870 QVO 8 TB 2.5"" Solid State Drive",5.0,$663.01,8 TB,$0.083,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B089C3TZL9?tag=bgfg-pc-builder-us-20
Samsung 990 EVO Plus 1 TB M.2-2280 PCIe 5.0 X2 NVME Solid State Drive,,$79.98,1 TB,$0.080,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X2,https://www.amazon.com/dp/B0DHLFWBQ1?tag=bgfg-pc-builder-us-20
"Seagate Barracuda Compute 8 TB 3.5"" 5400 RPM Internal Hard Drive",4.9,$119.99,8 TB,$0.015,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B07H289S7C?tag=bgfg-pc-builder-us-20
Crucial T700 4 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$465.99,4 TB,$0.116,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/dp/B0C3KKY6TL?tag=bgfg-pc-builder-us-20
"Samsung 870 Evo 4 TB 2.5"" Solid State Drive",4.7,$378.38,4 TB,$0.095,SSD,4096 MB,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B08QBL36GF?tag=bgfg-pc-builder-us-20
SK Hynix Platinum P41 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$259.99,2 TB,$0.130,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09QVD9V7R?tag=bgfg-pc-builder-us-20
Kingston NV3 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,2 TB,N/A,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Kingston+NV3+2+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Samsung 870 Evo 500 GB 2.5"" Solid State Drive",4.8,$49.99,500 GB,$0.100,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B08QBMD6P4?tag=bgfg-pc-builder-us-20
Samsung 980 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.8,$89.99,1 TB,$0.090,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B08V83JZH4?tag=bgfg-pc-builder-us-20
MSI SPATIUM M482 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$139.99,2 TB,$0.070,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0CVK1R1MN?tag=bgfg-pc-builder-us-20
