name,rating,price,type,efficiency rating,wattage,modular,link
Thermaltake Smart 700 W 80+ Certified ATX Power Supply,4.1,$49.99,ATX,80+,700 W,No,https://www.amazon.com/dp/B014W3EAX8?tag=bgfg-pc-builder-us-20
Cooler Master MWE GOLD 750 V2 FULL MODULAR 750 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$114.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B08BKPQQDD?tag=bgfg-pc-builder-us-20
EVGA 500 W1 500 W 80+ Certified ATX Power Supply,4.4,$49.99,ATX,80+,500 W,No,https://www.amazon.com/dp/B00H33SFJU?tag=bgfg-pc-builder-us-20
Corsair RM1200x SHIFT 1200 W 80+ Gold Certified Fully Modular Side Interface ATX Power Supply,5.0,$199.99,ATX,80+ Gold,1200 W,Full / Side,https://www.amazon.com/dp/B0BP88MYM4?tag=bgfg-pc-builder-us-20
MSI MEG Ai1300P PCIE5 1300 W 80+ Platinum Certified Fully Modular ATX Power Supply,,$364.98,ATX,80+ Platinum,1300 W,Full,https://www.amazon.com/s?k=MSI+MEG+Ai1300P+PCIE5+1300+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
NZXT C850 (2024) 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,850 W,Full,https://www.amazon.com/s?k=NZXT+C850+%282024%29+850+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Corsair CX750M (2021) 550 W 80+ Bronze Certified Semi-modular ATX Power Supply,,$69.98,ATX,80+ Bronze,550 W,Semi,https://www.amazon.com/dp/B093ND8LML?tag=bgfg-pc-builder-us-20
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply,,,ATX,80+ Platinum,1000 W,Full,https://www.amazon.com/s?k=Lian+Li+EDGE+1000+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
be quiet! Dark Power Pro 13 1300 W 80+ Titanium Certified Fully Modular ATX Power Supply,5.0,$419.90,ATX,80+ Titanium,1300 W,Full,https://www.amazon.com/dp/B0C6FYQC81?tag=bgfg-pc-builder-us-20
be quiet! Pure Power 12 M 1200 W 80+ Gold Certified Fully Modular ATX Power Supply,,$199.90,ATX,80+ Gold,1200 W,Full,https://www.amazon.com/dp/B0CBP3C2S9?tag=bgfg-pc-builder-us-20
Thermaltake Toughpower GF1 (2024) 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,$89.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0CKY88GMT?tag=bgfg-pc-builder-us-20
EVGA 400 N1 400 W ATX Power Supply,4.1,$34.99,ATX,N/A,400 W,No,https://www.amazon.com/dp/B00LV8TZAG?tag=bgfg-pc-builder-us-20
EVGA 600 W1 600 W 80+ Certified ATX Power Supply,4.4,$54.99,ATX,80+,600 W,No,https://www.amazon.com/dp/B0160XJAQK?tag=bgfg-pc-builder-us-20
MSI MAG A650BE 650 W 80+ Bronze Certified Semi-modular ATX Power Supply,,,ATX,80+ Bronze,650 W,Semi,https://www.amazon.com/s?k=MSI+MAG+A650BE+650+W+80%2B+Bronze+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
EVGA SuperNOVA 850 G6 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.8,$154.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B099821FWG?tag=bgfg-pc-builder-us-20
Apevia CAPTAIN 550 W ATX Power Supply,,$31.99,ATX,N/A,550 W,No,https://www.amazon.com/dp/B089PZCB7X?tag=bgfg-pc-builder-us-20
Corsair RM1000x SHIFT 1000 W 80+ Gold Certified Fully Modular Side Interface ATX Power Supply,5.0,$188.14,ATX,80+ Gold,1000 W,Full / Side,https://www.amazon.com/dp/B0CWLV29D7?tag=bgfg-pc-builder-us-20
NZXT C1000 (2024) 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/s?k=NZXT+C1000+%282024%29+1000+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Gigabyte P750GM 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.7,$89.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B08DKJJFW6?tag=bgfg-pc-builder-us-20
EVGA SuperNOVA 750 GT 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.9,$133.94,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B088SV1FH9?tag=bgfg-pc-builder-us-20
Asus TUF Gaming 1000G 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/s?k=Asus+TUF+Gaming+1000G+1000+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Asus TUF Gaming 750G 750 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,750 W,Full,https://www.amazon.com/s?k=Asus+TUF+Gaming+750G+750+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
be quiet! Straight Power 12 850 W 80+ Platinum Certified Fully Modular ATX Power Supply,5.0,$209.90,ATX,80+ Platinum,850 W,Full,https://www.amazon.com/dp/B0CC7R91V7?tag=bgfg-pc-builder-us-20
SeaSonic VERTEX PX-1000 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply,,,ATX,80+ Platinum,1000 W,Full,https://www.amazon.com/s?k=SeaSonic+VERTEX+PX-1000+1000+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Apevia Prestige 600 W 80+ Gold Certified ATX Power Supply,,$51.99,ATX,80+ Gold,600 W,No,https://www.amazon.com/dp/B07NWZQX1J?tag=bgfg-pc-builder-us-20
Corsair RM750x (2024) 750 W Fully Modular ATX Power Supply,,$119.99,ATX,N/A,750 W,Full,https://www.amazon.com/dp/B0DJ1M18CY?tag=bgfg-pc-builder-us-20
Gigabyte UD1000GM 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,$129.99,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/dp/B09VKF3CFC?tag=bgfg-pc-builder-us-20
be quiet! Pure Power 12 M 650 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$104.90,ATX,80+ Gold,650 W,Full,https://www.amazon.com/dp/B0BVYGNLM7?tag=bgfg-pc-builder-us-20
Asus Prime AP-750G 750 W 80+ Gold Certified Fully Modular ATX Power Supply,,$98.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B0CPR1FR7H?tag=bgfg-pc-builder-us-20
Thermaltake Smart BM3 650 W 80+ Bronze Certified Semi-modular ATX Power Supply,5.0,$59.99,ATX,80+ Bronze,650 W,Semi,https://www.amazon.com/dp/B0CFWQBDXQ?tag=bgfg-pc-builder-us-20
SeaSonic VERTEX PX-1200 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply,,,ATX,80+ Platinum,1200 W,Full,https://www.amazon.com/s?k=SeaSonic+VERTEX+PX-1200+1200+W+80%2B+Platinum+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
be quiet! System Power 10 650 W 80+ Bronze Certified ATX Power Supply,,$101.39,ATX,80+ Bronze,650 W,No,https://www.amazon.com/dp/B0BJVL2PWD?tag=bgfg-pc-builder-us-20
EVGA 600 BR 600 W 80+ Bronze Certified ATX Power Supply,4.6,$64.98,ATX,80+ Bronze,600 W,No,https://www.amazon.com/dp/B07DTP6QKG?tag=bgfg-pc-builder-us-20
Logisys PS480D2 480 W ATX Power Supply,2.0,$16.98,ATX,N/A,480 W,No,https://www.amazon.com/dp/B000N519KC?tag=bgfg-pc-builder-us-20
Thermaltake Toughpower GF3 TT Premium 1200 W 80+ Gold Certified Fully Modular ATX Power Supply,,$237.98,ATX,80+ Gold,1200 W,Full,https://www.amazon.com/s?k=Thermaltake+Toughpower+GF3+TT+Premium+1200+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
NZXT C1200 1200 W 80+ Gold Certified Fully Modular ATX Power Supply,,$219.99,ATX,80+ Gold,1200 W,Full,https://www.amazon.com/dp/B0BQX19J1R?tag=bgfg-pc-builder-us-20
SeaSonic PRIME TX-1600 ATX 3.0 1600 W 80+ Titanium Certified Fully Modular ATX Power Supply,,,ATX,80+ Titanium,1600 W,Full,https://www.amazon.com/s?k=SeaSonic+PRIME+TX-1600+ATX+3.0+1600+W+80%2B+Titanium+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
EVGA 700 BR 700 W 80+ Bronze Certified ATX Power Supply,4.7,$74.98,ATX,80+ Bronze,700 W,No,https://www.amazon.com/dp/B07DTP6MWS?tag=bgfg-pc-builder-us-20
Corsair SF1000L 1000 W 80+ Gold Certified Fully Modular SFX Power Supply,4.8,$164.99,SFX,80+ Gold,1000 W,Full,https://www.amazon.com/dp/B0BW9TG9ZY?tag=bgfg-pc-builder-us-20
be quiet! Dark Power 13 850 W 80+ Titanium Certified Fully Modular ATX Power Supply,,$249.90,ATX,80+ Titanium,850 W,Full,https://www.amazon.com/s?k=be+quiet%21+Dark+Power+13+850+W+80%2B+Titanium+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
be quiet! Dark Power Pro 13 1600 W 80+ Titanium Certified Fully Modular ATX Power Supply,,$459.90,ATX,80+ Titanium,1600 W,Full,https://www.amazon.com/dp/B0C6FY4JXF?tag=bgfg-pc-builder-us-20
be quiet! Straight Power 12 1500 W 80+ Platinum Certified Fully Modular ATX Power Supply,,$379.90,ATX,80+ Platinum,1500 W,Full,https://www.amazon.com/dp/B0CC8JMDVH?tag=bgfg-pc-builder-us-20
