name,rating,price,cores,core_clock,boost_clock,tdp,link
Intel Core i7-13700KF 3.4 GHz 16-Core Processor,,$429.99,16,3.4,5.4,125,https://www.amazon.com/s?k=Intel+Core+i7-13700KF+3.4+GHz+16-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i5-11400F 2.6 GHz 6-Core Processor,4.7,$169.99,6,2.6,4.4,65,https://www.amazon.com/dp/B08X6SZ184?tag=bgfg-pc-builder-us-20
Intel Core i3-13100F 3.4 GHz Quad-Core Processor,5.0,$121.99,4,3.4,4.5,58,https://www.amazon.com/dp/B0BQ6BCWC4?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 3400G 3.7 GHz Quad-Core Processor,4.9,$141.99,4,3.7,4.2,65,https://www.amazon.com/dp/B07SXNDKNM?tag=bgfg-pc-builder-us-20
AMD Threadripper 3970X 3.7 GHz 32-Core Processor,5.0,$3450.00,32,3.7,4.5,280,https://www.amazon.com/dp/B0815JJQQ8?tag=bgfg-pc-builder-us-20
Intel Core i5-9600K 3.7 GHz 6-Core Processor,4.8,$250.00,6,3.7,4.6,95,https://www.amazon.com/dp/B07HHLX1R8?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 4600G 3.7 GHz 6-Core Processor,5.0,$146.74,6,3.7,4.2,65,https://www.amazon.com/dp/B09Z5NH6SJ?tag=bgfg-pc-builder-us-20
Intel Core i5-8400 2.8 GHz 6-Core Processor,4.8,$195.00,6,2.8,4.0,65,https://www.amazon.com/dp/B0759FGJ3Q?tag=bgfg-pc-builder-us-20
Intel Core i7-11700K 3.6 GHz 8-Core Processor,4.8,$290.99,8,3.6,5.0,125,https://www.amazon.com/dp/B08X6ND3WP?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 2600X 3.6 GHz 6-Core Processor,4.8,$239.00,6,3.6,4.2,95,https://www.amazon.com/dp/B07B428V2L?tag=bgfg-pc-builder-us-20
Intel Core i7-8700 3.2 GHz 6-Core Processor,4.9,$330.00,6,3.2,4.6,65,https://www.amazon.com/dp/B07598HLB4?tag=bgfg-pc-builder-us-20
