name,rating,price,socket/cpu,form factor,memory max,memory slots,link
MSI PRO X870-P WIFI ATX AM5 Motherboard,,$239.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DG3SSGLF?tag=bgfg-pc-builder-us-20
Asus ROG STRIX Z790-E GAMING WIFI II ATX LGA1700 Motherboard,5.0,$499.99,LGA1700,ATX,192 GB,4,https://www.amazon.com/dp/B0CJMQ2S5M?tag=bgfg-pc-builder-us-20
MSI PRO B760-P WIFI DDR4 ATX LGA1700 Motherboard,,$169.99,LGA1700,ATX,128 GB,4,https://www.amazon.com/dp/B0BRQSWSFQ?tag=bgfg-pc-builder-us-20
Gigabyte B450M DS3H WIFI Micro ATX AM4 Motherboard,3.9,$81.98,AM4,Micro ATX,64 GB,4,https://www.amazon.com/s?k=Gigabyte+B450M+DS3H+WIFI+Micro+ATX+AM4+Motherboard&tag=bgfg-pc-builder-us-20
Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5 Motherboard,,$329.99,AM5,Mini ITX,64 GB,2,https://www.amazon.com/s?k=Asus+ROG+STRIX+B650E-I+GAMING+WIFI+Mini+ITX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
MSI MEG X870E GODLIKE EATX AM5 Motherboard,,,AM5,EATX,256 GB,4,https://www.amazon.com/s?k=MSI+MEG+X870E+GODLIKE+EATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte Z790 AORUS ELITE AX ATX LGA1700 Motherboard,5.0,$499.99,LGA1700,ATX,128 GB,4,https://www.amazon.com/dp/B0BH9DXY38?tag=bgfg-pc-builder-us-20
MSI MPG B550 GAMING PLUS ATX AM4 Motherboard,4.7,$159.99,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B089CRF5XV?tag=bgfg-pc-builder-us-20
ASRock B450M-HDV R4.0 Micro ATX AM4 Motherboard,3.8,$142.99,AM4,Micro ATX,32 GB,2,https://www.amazon.com/dp/B07MWGKHR9?tag=bgfg-pc-builder-us-20
MSI X670E GAMING PLUS WIFI ATX AM5 Motherboard,4.0,$219.99,AM5,ATX,192 GB,4,https://www.amazon.com/dp/B0CRF81BBC?tag=bgfg-pc-builder-us-20
MSI PRO B760M-P DDR4 Micro ATX LGA1700 Motherboard,,,LGA1700,Micro ATX,128 GB,4,https://www.amazon.com/s?k=MSI+PRO+B760M-P+DDR4+Micro+ATX+LGA1700+Motherboard&tag=bgfg-pc-builder-us-20
MSI MAG B550 TOMAHAWK ATX AM4 Motherboard,4.6,$169.99,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B089CWDHFZ?tag=bgfg-pc-builder-us-20
ASRock B650 Steel Legend WiFi ATX AM5 Motherboard,,,AM5,ATX,192 GB,4,https://www.amazon.com/s?k=ASRock+B650+Steel+Legend+WiFi+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
ASRock B650M Pro RS Micro ATX AM5 Motherboard,,$139.99,AM5,Micro ATX,192 GB,4,https://www.amazon.com/s?k=ASRock+B650M+Pro+RS+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte A520M DS3H V2 Micro ATX AM4 Motherboard,,,AM4,Micro ATX,128 GB,4,https://www.amazon.com/s?k=Gigabyte+A520M+DS3H+V2+Micro+ATX+AM4+Motherboard&tag=bgfg-pc-builder-us-20
Asus ROG STRIX X870-I GAMING WIFI Mini ITX AM5 Motherboard,4.0,$449.99,AM5,Mini ITX,96 GB,2,https://www.amazon.com/dp/B0DDZWJ1KX?tag=bgfg-pc-builder-us-20
Asus ROG ZENITH II EXTREME ALPHA EATX sTRX4 Motherboard,4.5,$2169.00,sTRX4,EATX,256 GB,8,https://www.amazon.com/dp/B083ZC9L91?tag=bgfg-pc-builder-us-20
Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700 Motherboard,5.0,$219.99,LGA1700,Mini ITX,64 GB,2,https://www.amazon.com/dp/B0BR8TVLPL?tag=bgfg-pc-builder-us-20
Asus PRIME B650-PLUS ATX AM5 Motherboard,,$199.99,AM5,ATX,128 GB,4,https://www.amazon.com/dp/B0BHMVMMJC?tag=bgfg-pc-builder-us-20
Asus ROG STRIX X670E-E GAMING WIFI ATX AM5 Motherboard,,$591.09,AM5,ATX,128 GB,4,https://www.amazon.com/dp/B0BDTHQTJV?tag=bgfg-pc-builder-us-20
Gigabyte A520I AC Mini ITX AM4 Motherboard,5.0,$169.99,AM4,Mini ITX,64 GB,2,https://www.amazon.com/dp/B08F7BHDLY?tag=bgfg-pc-builder-us-20
Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700 Motherboard,5.0,$305.08,LGA1700,ATX,128 GB,4,https://www.amazon.com/dp/B0BQD58D96?tag=bgfg-pc-builder-us-20
Asus ROG STRIX B550-A GAMING ATX AM4 Motherboard,4.7,$171.17,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B08F9VP2RC?tag=bgfg-pc-builder-us-20
Asus TUF GAMING A520M-PLUS WIFI Micro ATX AM4 Motherboard,,$119.30,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B0997N7P12?tag=bgfg-pc-builder-us-20
Gigabyte X870 GAMING WIFI6 ATX AM5 Motherboard,,$199.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DHWLN5XT?tag=bgfg-pc-builder-us-20
MSI MAG Z790 TOMAHAWK WIFI ATX LGA1700 Motherboard,5.0,$595.50,LGA1700,ATX,128 GB,4,https://www.amazon.com/dp/B09Y1FJBHX?tag=bgfg-pc-builder-us-20
ASRock A520M-ITX/ac Mini ITX AM4 Motherboard,3.5,$124.96,AM4,Mini ITX,64 GB,2,https://www.amazon.com/dp/B08G1WLVR2?tag=bgfg-pc-builder-us-20
ASRock B650M-HDV/M.2 Micro ATX AM5 Motherboard,4.7,$124.99,AM5,Micro ATX,96 GB,2,https://www.amazon.com/dp/B0BY6YRT41?tag=bgfg-pc-builder-us-20
NZXT N7 B650E ATX AM5 Motherboard,,,AM5,ATX,128 GB,4,https://www.amazon.com/s?k=NZXT+N7+B650E+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte B550 AORUS ELITE AX V2 ATX AM4 Motherboard,4.6,$214.99,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B08KGVH7YC?tag=bgfg-pc-builder-us-20
ASRock B550M Pro4 Micro ATX AM4 Motherboard,4.7,$142.89,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B089VY5WVM?tag=bgfg-pc-builder-us-20
Asus PRIME B650M-A AX II Micro ATX AM5 Motherboard,,,AM5,Micro ATX,128 GB,4,https://www.amazon.com/s?k=Asus+PRIME+B650M-A+AX+II+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte B650 AORUS ELITE AX V2 ATX AM5 Motherboard,,$199.99,AM5,ATX,192 GB,4,https://www.amazon.com/dp/B0CMK1W2YX?tag=bgfg-pc-builder-us-20
ASRock X870E Taichi EATX AM5 Motherboard,5.0,,AM5,EATX,256 GB,4,https://www.amazon.com/s?k=ASRock+X870E+Taichi+EATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
MSI B650M GAMING PLUS WIFI Micro ATX AM5 Motherboard,,,AM5,Micro ATX,192 GB,4,https://www.amazon.com/s?k=MSI+B650M+GAMING+PLUS+WIFI+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Asus ProArt X870E-CREATOR WIFI ATX AM5 Motherboard,,$479.99,AM5,ATX,192 GB,4,https://www.amazon.com/dp/B0DF123GCV?tag=bgfg-pc-builder-us-20
Asus PRIME B550M-A AC Micro ATX AM4 Motherboard,,$147.19,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B07VHJ34W7?tag=bgfg-pc-builder-us-20
Gigabyte B650I AORUS ULTRA Mini ITX AM5 Motherboard,,$269.99,AM5,Mini ITX,64 GB,2,https://www.amazon.com/s?k=Gigabyte+B650I+AORUS+ULTRA+Mini+ITX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
MSI B450 TOMAHAWK MAX ATX AM4 Motherboard,4.6,$114.99,AM4,ATX,64 GB,4,https://www.amazon.com/dp/B07WF6ZQST?tag=bgfg-pc-builder-us-20
