name,rating,price,fan rpm,noise level,color,link
ARCTIC Liquid Freezer III A-RGB 48.82 CFM Liquid CPU Cooler,,$87.77,200 - 2000 RPM,N/A,Black,https://www.amazon.com/dp/B09VH4M76W?tag=bgfg-pc-builder-us-20
Deepcool AK620 ZERO DARK 68.99 CFM CPU Cooler,,$69.98,500 - 1850 RPM,28 dB,Black,https://www.amazon.com/dp/B0B6FGMSNM?tag=bgfg-pc-builder-us-20
Corsair NAUTILUS 360 RS ARGB 74.37 CFM Liquid CPU Cooler,,,2100 RPM,34 dB,Black,https://www.amazon.com/s?k=Corsair+NAUTILUS+360+RS+ARGB+74.37+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Lian Li Galahad II Trinity Performance 108.29 CFM Liquid CPU Cooler,,$258.00,2300 - 3000 RPM,32.1 - 39.9 dB,Black,https://www.amazon.com/dp/B0CBV6SJN8?tag=bgfg-pc-builder-us-20
ARCTIC Freezer 36 A-RGB CPU Cooler,,$33.10,200 - 2000 RPM,N/A,Black,https://www.amazon.com/dp/B09VH22MT1?tag=bgfg-pc-builder-us-20
be quiet! Dark Rock 5 93.5 CFM CPU Cooler,,$69.90,2100 RPM,11.9 - 29.8 dB,Black,https://www.amazon.com/dp/B0D3NXLZ1T?tag=bgfg-pc-builder-us-20
Thermalright Frozen Notte ARGB 72.37 CFM Liquid CPU Cooler,,$51.90,2000 RPM,27.7 dB,White,https://www.amazon.com/dp/B0BLHH34SW?tag=bgfg-pc-builder-us-20
Thermalright Frozen Notte ARGB 72.37 CFM Liquid CPU Cooler,,$53.00,2000 RPM,27.7 dB,Black,https://www.amazon.com/dp/B0BLHGG9RF?tag=bgfg-pc-builder-us-20
Noctua NH-D9L 46.44 CFM CPU Cooler,4.9,$54.95,400 - 2000 RPM,16.3 - 22.8 dB,N/A,https://www.amazon.com/dp/B00QCEWTAW?tag=bgfg-pc-builder-us-20
Asus ROG Ryujin III 360 ARGB Extreme 89.73 CFM Liquid CPU Cooler,,,1 - 2800 RPM,36 dB,Black,https://www.amazon.com/s?k=Asus+ROG+Ryujin+III+360+ARGB+Extreme+89.73+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
NZXT Kraken 240 RGB 78.02 CFM Liquid CPU Cooler,,$179.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,https://www.amazon.com/dp/B0BY3FJ4WQ?tag=bgfg-pc-builder-us-20
Cooler Master MasterLiquid 360L Core Liquid CPU Cooler,,$119.99,350 - 1750 RPM,27.2 dB,White,https://www.amazon.com/dp/B0C4BQYN6Z?tag=bgfg-pc-builder-us-20
Corsair iCUE LINK TITAN 360 RX LCD 73.5 CFM Liquid CPU Cooler,,,300 - 2100 RPM,10 - 36 dB,Black,https://www.amazon.com/s?k=Corsair+iCUE+LINK+TITAN+360+RX+LCD+73.5+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
