name,rating,price,chipset,memory,core clock,boost clock,color,length,link
Gigabyte GV-N710D3-2GL 1.0 GeForce GT 710 2 GB Graphics Card,4.5,,GeForce GT 710,2 GB,954 MHz,N/A,Black,144 mm,https://www.amazon.com/s?k=Gigabyte+GV-N710D3-2GL+1.0+GeForce+GT+710+2+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Zotac GAMING GeForce RTX 2080 SUPER 8 GB Graphics Card,4.0,,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1815 MHz,Black,268 mm,https://www.amazon.com/s?k=Zotac+GAMING+GeForce+RTX+2080+SUPER+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI Radeon RX 6600 XT MECH 2X 8G V1 Radeon RX 6600 XT 8 GB Graphics Card,,,Radeon RX 6600 XT,8 GB,1968 MHz,2589 MHz,Black / Silver,215 mm,https://www.amazon.com/s?k=MSI+Radeon+RX+6600+XT+MECH+2X+8G+V1+Radeon+RX+6600+XT+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Palit GamingPro OC GeForce RTX 4070 Ti SUPER 16 GB Video Card,,,GeForce RTX 4070 Ti SUPER,16 GB,2340 MHz,2670 MHz,White / Silver,329 mm,https://www.amazon.com/s?k=Palit+GamingPro+OC+GeForce+RTX+4070+Ti+SUPER+16+GB+Video+Card&tag=bgfg-pc-builder-us-20
PNY VCQP5000-PB Quadro P5000 16 GB Graphics Card,4.0,$890.00,Quadro P5000,16 GB,1607 MHz,1733 MHz,Black / Green,N/A,https://www.amazon.com/dp/B01N6W4CVB?tag=bgfg-pc-builder-us-20
Inno3D Twin X2 GeForce RTX 4060 Ti 16 GB Video Card,,,GeForce RTX 4060 Ti,16 GB,2310 MHz,2535 MHz,Black / Silver,250 mm,https://www.amazon.com/s?k=Inno3D+Twin+X2+GeForce+RTX+4060+Ti+16+GB+Video+Card&tag=bgfg-pc-builder-us-20
Asus rx7900xt-20g Radeon RX 7900 XT 20 GB Video Card,,$909.98,Radeon RX 7900 XT,20 GB,2000 MHz,2400 MHz,Black,276 mm,https://www.amazon.com/s?k=Asus+rx7900xt-20g+Radeon+RX+7900+XT+20+GB+Video+Card&tag=bgfg-pc-builder-us-20
EVGA 06G-P4-4990-KR GeForce GTX 980 Ti 6 GB Graphics Card,5.0,,GeForce GTX 980 Ti,6 GB,1000 MHz,1076 MHz,Black / Silver,267 mm,https://www.amazon.com/s?k=EVGA+06G-P4-4990-KR+GeForce+GTX+980+Ti+6+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Sapphire NITRO+ Radeon RX 580 8 GB Graphics Card,5.0,,Radeon RX 580,8 GB,1257 MHz,1450 MHz,Black,260 mm,https://www.amazon.com/s?k=Sapphire+NITRO%2B+Radeon+RX+580+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Zotac GAMING Trinity OC GeForce RTX 4080 16 GB Video Card,,$1299.99,GeForce RTX 4080,16 GB,2205 MHz,2520 MHz,Black,356 mm,https://www.amazon.com/dp/B0BKK371SB?tag=bgfg-pc-builder-us-20
Inno3D Twin X2 OC GeForce RTX 4070 12 GB Video Card,,,GeForce RTX 4070,12 GB,1920 MHz,2505 MHz,Black / Silver,250 mm,https://www.amazon.com/s?k=Inno3D+Twin+X2+OC+GeForce+RTX+4070+12+GB+Video+Card&tag=bgfg-pc-builder-us-20
KFA2 (1-Click OC) GeForce RTX 4060 Ti 8 GB Video Card,,$639.00,GeForce RTX 4060 Ti,8 GB,2310 MHz,2565 MHz,Black,237 mm,https://www.amazon.com/dp/B0C7MQDR5F?tag=bgfg-pc-builder-us-20
Gigabyte GAMING OC V2 GeForce RTX 4070 Ti 12 GB Video Card,,$819.99,GeForce RTX 4070 Ti,12 GB,2310 MHz,2640 MHz,Black,300 mm,https://www.amazon.com/dp/B0CDJCS4L5?tag=bgfg-pc-builder-us-20
Gigabyte GV-N3080EAGLE OC-10GD GeForce RTX 3080 10GB 10 GB Graphics Card,4.8,$949.90,GeForce RTX 3080 10GB,10 GB,1440 MHz,1755 MHz,Black,320 mm,https://www.amazon.com/dp/B08HJS2JLJ?tag=bgfg-pc-builder-us-20
Asus Phoenix OC GeForce GTX 1650 SUPER 4 GB Graphics Card,4.8,,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1770 MHz,Black / White,174 mm,https://www.amazon.com/s?k=Asus+Phoenix+OC+GeForce+GTX+1650+SUPER+4+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Asus Turbo EVO GeForce RTX 2080 SUPER 8 GB Graphics Card,4.0,,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1845 MHz,Black / Silver,268 mm,https://www.amazon.com/s?k=Asus+Turbo+EVO+GeForce+RTX+2080+SUPER+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Sapphire PULSE Radeon RX 570 8 GB Graphics Card,5.0,,Radeon RX 570,8 GB,1168 MHz,1284 MHz,Black / Silver,230 mm,https://www.amazon.com/s?k=Sapphire+PULSE+Radeon+RX+570+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
NVIDIA Star Wars Jedi Order Titan Xp 12 GB Graphics Card,,,Titan Xp,12 GB,1481 MHz,1582 MHz,Silver / Green,267 mm,https://www.amazon.com/s?k=NVIDIA+Star+Wars+Jedi+Order+Titan+Xp+12+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
EVGA SC ULTRA GAMING GeForce GTX 1650 G6 4 GB Graphics Card,5.0,$279.99,GeForce GTX 1650 G6,4 GB,1410 MHz,1710 MHz,Black,202 mm,https://www.amazon.com/dp/B085WV18XN?tag=bgfg-pc-builder-us-20
PNY VCQK2200-PB Quadro K2200 4 GB Graphics Card,,$209.89,Quadro K2200,4 GB,1046 MHz,N/A,Black / Green,202 mm,https://www.amazon.com/dp/B00MPXRYAE?tag=bgfg-pc-builder-us-20
MSI GT 1030 2GD4 LP OC GeForce GT 1030 DDR4 2 GB Graphics Card,,$92.99,GeForce GT 1030 DDR4,2 GB,1189 MHz,1430 MHz,Black,150 mm,https://www.amazon.com/dp/B07D9MQDP4?tag=bgfg-pc-builder-us-20
Asus ROG STRIX LC GAMING OC GeForce RTX 3080 Ti 12 GB Graphics Card,4.0,$1689.99,GeForce RTX 3080 Ti,12 GB,1365 MHz,1860 MHz,Black / Silver,293 mm,https://www.amazon.com/dp/B097NLSLLX?tag=bgfg-pc-builder-us-20
Asus STRIX LC GAMING OC GeForce RTX 3090 Ti 24 GB Graphics Card,5.0,$1149.99,GeForce RTX 3090 Ti,24 GB,1560 MHz,1980 MHz,Silver / Black,293 mm,https://www.amazon.com/dp/B09WPJQN3C?tag=bgfg-pc-builder-us-20
Gigabyte GAMING OC GeForce RTX 3090 Ti 24 GB Graphics Card,,$1457.99,GeForce RTX 3090 Ti,24 GB,1560 MHz,1905 MHz,Black,331 mm,https://www.amazon.com/dp/B09XJCNYT8?tag=bgfg-pc-builder-us-20
Zotac GAMING SOLO GeForce RTX 3050 8GB 8 GB Video Card,,$278.14,GeForce RTX 3050 8GB,8 GB,1550 MHz,1777 MHz,Black,168 mm,https://www.amazon.com/dp/B0BJQ6VVN2?tag=bgfg-pc-builder-us-20
PNY XLR8 Gaming REVEL EPIC-X RGB GeForce RTX 3080 Ti 12 GB Graphics Card,,$449.99,GeForce RTX 3080 Ti,12 GB,1365 MHz,1665 MHz,Black / Silver,294 mm,https://www.amazon.com/s?k=PNY+XLR8+Gaming+REVEL+EPIC-X+RGB+GeForce+RTX+3080+Ti+12+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Asus STRIX GeForce GTX 980 Ti 6 GB Graphics Card,4.8,,GeForce GTX 980 Ti,6 GB,1216 MHz,1317 MHz,Black / Red,305 mm,https://www.amazon.com/s?k=Asus+STRIX+GeForce+GTX+980+Ti+6+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
ASRock Phantom Gaming D OC Radeon RX 6600 XT 8 GB Graphics Card,,,Radeon RX 6600 XT,8 GB,1968 MHz,N/A,Black,305 mm,https://www.amazon.com/s?k=ASRock+Phantom+Gaming+D+OC+Radeon+RX+6600+XT+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
