name,rating,price,modules,price/gb,color,first word latency,cas latency,link
ADATA XPG Gaming 4 GB (1 x 4 GB) DDR3-1600 CL9 Memory,5.0,,1 x 4GB,N/A,Black / Silver,11.25 ns,11.25 ns,https://www.amazon.com/s?k=ADATA+XPG+Gaming+4+GB+%281+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
G.Skill F3-1600C11D-16GSL 16 GB (2 x 8 GB) DDR3-1600 SODIMM CL11 Memory,,$53.44,2 x 8GB,$3.340,Green,13.75 ns,13.75 ns,https://www.amazon.com/dp/B00GWGHNA6?tag=bgfg-pc-builder-us-20
G.Skill F3-1600C11D-8GSL 8 GB (2 x 4 GB) DDR3-1600 SODIMM CL11 Memory,,,2 x 4GB,N/A,N/A,13.75 ns,13.75 ns,https://www.amazon.com/s?k=G.Skill+F3-1600C11D-8GSL+8+GB+%282+x+4+GB%29+DDR3-1600+SODIMM+CL11+Memory&tag=bgfg-pc-builder-us-20
G.Skill F3-1600C11S-4GSL 4 GB (1 x 4 GB) DDR3-1600 SODIMM CL11 Memory,,,1 x 4GB,N/A,N/A,13.75 ns,13.75 ns,https://www.amazon.com/s?k=G.Skill+F3-1600C11S-4GSL+4+GB+%281+x+4+GB%29+DDR3-1600+SODIMM+CL11+Memory&tag=bgfg-pc-builder-us-20
G.Skill F3-1600C9S-4GSL 4 GB (1 x 4 GB) DDR3-1600 SODIMM CL9 Memory,,$20.00,1 x 4GB,$5.000,N/A,11.25 ns,11.25 ns,https://www.amazon.com/dp/B00HHCADM4?tag=bgfg-pc-builder-us-20
Wintec AMPX 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,,,2 x 4GB,N/A,Black / Silver,11.25 ns,11.25 ns,https://www.amazon.com/s?k=Wintec+AMPX+8+GB+%282+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
Wintec Value 4 GB (1 x 4 GB) DDR3-1600 CL9 Memory,,,1 x 4GB,N/A,Green,11.25 ns,11.25 ns,https://www.amazon.com/s?k=Wintec+Value+4+GB+%281+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Standard 8 GB (2 x 4 GB) DDR3-1333 CL9 Memory,,,2 x 4GB,N/A,Black / Silver,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Avexir+Standard+8+GB+%282+x+4+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Core 8 GB (1 x 8 GB) DDR3-1333 CL9 Memory,4.0,,1 x 8GB,N/A,Black / Blue,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Avexir+Core+8+GB+%281+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Platinum 8 GB (1 x 8 GB) DDR3-1333 CL9 Memory,,,1 x 8GB,N/A,Black,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Avexir+Platinum+8+GB+%281+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Core 16 GB (2 x 8 GB) DDR3-1333 CL9 Memory,,,2 x 8GB,N/A,Black / Blue,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Avexir+Core+16+GB+%282+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Standard 16 GB (2 x 8 GB) DDR3-1333 CL9 Memory,,,2 x 8GB,N/A,Black / Silver,13.503 ns,13.503 ns,https://www.amazon.com/s?k=Avexir+Standard+16+GB+%282+x+8+GB%29+DDR3-1333+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir Core 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory,,,2 x 4GB,N/A,Black / Orange,11.25 ns,11.25 ns,https://www.amazon.com/s?k=Avexir+Core+8+GB+%282+x+4+GB%29+DDR3-1600+CL9+Memory&tag=bgfg-pc-builder-us-20
Avexir MPower 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory,,,2 x 8GB,N/A,Black / Yellow,12.5 ns,12.5 ns,https://www.amazon.com/s?k=Avexir+MPower+16+GB+%282+x+8+GB%29+DDR3-1600+CL10+Memory&tag=bgfg-pc-builder-us-20
